BBC Breaking News,1859855943351128295,2024-11-22T07:06:26.000Z,"Energy bills for typical household in England, Wales and Scotland to rise by £21 to £1,738 a year from January, says regulator Ofgem https://t.co/u2FKEzcZPe",,
BBC Breaking News,1859750179831734574,2024-11-22T00:06:10.000Z,"Donald Trump nominates Florida’s former top lawyer Pam Bondi for US attorney general after Matt Gaetz withdraws
https://t.co/tAx4jVMP9i",,
BBC Breaking News,1859653290893377997,2024-11-21T17:41:09.000Z,"Donald Trump's controversial pick for US attorney general, Matt Gaetz, withdraws as nominee saying he was becoming a distraction https://t.co/1drLgVAfpK",,
BBC Breaking News,1859651564102660390,2024-11-21T17:34:18.000Z,Putin says Russia hit Ukraine with new type of missile - days after Ukraine used Western-supplied weapons to strike inside Russia https://t.co/dFyrjTQicx,,
BBC Breaking News,1859644094567395792,2024-11-21T17:04:37.000Z,"Briton Simone White dies after suspected methanol poisoning thought to have killed four others in Laos, south-east Asia https://t.co/BE71J2OwAK",,
BBC Breaking News,1859572490034446582,2024-11-21T12:20:05.000Z,"International Criminal Court issues arrest warrants for Israel PM Benjamin Netanyahu, ex-defence minister Yoav Gallant and Hamas military chief Mohammed Deif https://t.co/p7yog2dq4q",,
BBC Breaking News,1859502886788489278,2024-11-21T07:43:30.000Z,"""There was no-one quite like him in British politics"" - Tony Blair pays tribute to John Prescott after his former deputy PM dies aged 86
 
https://t.co/ykYyBHfU9y",,
BBC Breaking News,1859477806305972598,2024-11-21T06:03:51.000Z,"John Prescott, UK deputy prime minister for a decade in Tony Blair's Labour government, has died aged 86 https://t.co/kSsa4wBSDE",,
BBC Breaking News,1859299485613974008,2024-11-20T18:15:16.000Z,"£195,000 bonus for boss of troubled British utility company Thames Water should not be paid for by customers, regulator expected to say 
 
https://t.co/iByEcBoK9m",,
BBC Breaking News,1859276985463165220,2024-11-20T16:45:51.000Z,"Ukraine uses UK-made Storm Shadow missiles against targets inside Russia for the first time, BBC understands https://t.co/MewesP9TsU",,
BBC Breaking News,1859222916564467862,2024-11-20T13:11:00.000Z,"Scale of Mohamed Al Fayed’s sexual abuse could be similar to Jimmy Savile’s, survivors’ advocate appointed by Harrods tells BBC https://t.co/TJ8FhAyF6F",,
BBC Breaking News,1859198971878494509,2024-11-20T11:35:51.000Z,Two Metropolitan Police officers under criminal investigation after crash involving unmarked police car killed woman and her unborn baby last month in south-east London https://t.co/cAi3TISU4s,,
BBC Breaking News,1859131031317545356,2024-11-20T07:05:53.000Z,Higher energy bills push UK inflation rate up to 2.3% in year to October - above Bank of England’s target https://t.co/jNaH2i3plo,,
BBC Breaking News,1859125385725649022,2024-11-20T06:43:27.000Z,"US closes Kyiv embassy after getting information of ""potential significant air attack""  

Follow live: https://t.co/OCdjWpeRnR",,
BBC Breaking News,1859098885454483730,2024-11-20T04:58:09.000Z,Biden approves supply of anti-personnel mines to Ukraine for use on its own territory in move seen as attempting to slow Russia's advance https://t.co/jVSju1Dw95,,
BBC Breaking News,1858905106382545238,2024-11-19T16:08:08.000Z,"Harshita Brella, whose body was found in car boot in London, died from strangulation, post-mortem examination finds https://t.co/vUCwiokhkF",,
BBC Breaking News,1858865364509061571,2024-11-19T13:30:13.000Z,"Ex-husband who drugged and recruited dozens of men to rape Gisèle Pelicot about to speak in French court
 
Follow live: https://t.co/JXcCSOO7rq",,
BBC Breaking News,1858855055106982175,2024-11-19T12:49:15.000Z,"Moscow says Ukraine has fired US-supplied long range missiles into Russia for the first time 
https://t.co/FTcUlBO2D1",,
BBC Breaking News,1858787867478077933,2024-11-19T08:22:16.000Z,Zoe Ball says she is stepping down as Radio 2 Breakfast Show presenter in December to “focus on family” but will stay with station https://t.co/sN6Q9Nlvg7,,
BBC Breaking News,1858775980606689600,2024-11-19T07:35:02.000Z,Drivers and commuters warned of disruption with weather warnings for snow and ice in parts of UK https://t.co/ncgJ8vVzkk,,
BBC Breaking News,1858705927349674277,2024-11-19T02:56:40.000Z,"Joshua Wong and Benny Tai among 45 key Hong Kong pro-democracy campaigners jailed for years after controversial trial   
https://t.co/k4e5E1B2Bp",,
BBC Breaking News,1858455241844211946,2024-11-18T10:20:32.000Z,Two Met Police officers charged with sexual assault of a woman in London in April https://t.co/UUazU12J5s,,
BBC Breaking News,1858192351681724455,2024-11-17T16:55:54.000Z,"Police in Northamptonshire, UK, hunting for husband of murdered Harshita Brella, whose body was found in a car boot https://t.co/J8K63ZjLd8",,
BBC Breaking News,1858068580073459943,2024-11-17T08:44:05.000Z,"Emergency blackouts in Ukraine as Russia targets power grid in ""massive"" overnight missile attack https://t.co/RUkvvCX2FG",,
BBC Breaking News,1857550119710662834,2024-11-15T22:23:54.000Z,Former UK MP William Wragg tells BBC he felt “enormous guilt” over his role in Westminster honeytrap scandal https://t.co/W5ofUNoPVL,,
BBC Breaking News,1857444934610993578,2024-11-15T15:25:56.000Z,Met police officer dismissed for gross misconduct after accessing Sarah Everard files https://t.co/bNj21RSUTC,,
BBC Breaking News,1857432887907188998,2024-11-15T14:38:04.000Z,"Five guilty of murdering teenage friends Mason Rist and Max Dixon in case of mistaken identity in Bristol, UK https://t.co/IAQVw2rLtF",,
BBC Breaking News,1857332483370479851,2024-11-15T07:59:06.000Z,"At least 10 people die and others injured in fire at a nursing home in Spanish town of Villafranca de Ebro, emergency services say https://t.co/To3alvRINR",,
BBC Breaking News,1857330457387343912,2024-11-15T07:51:03.000Z,"UK economic growth slows to 0.1% between July and September, official figures show
https://t.co/4TSmxOXRp5",,
BBC Breaking News,1857172151989625026,2024-11-14T21:22:00.000Z,"President-elect Donald Trump nominates vaccine sceptic Robert F Kennedy Jr as US health secretary 
 
Follow live: https://t.co/PRlEJBRy4n",,
BBC Breaking News,1857143017112821778,2024-11-14T19:26:13.000Z,"Girl who died after being hit by car when she got out of police vehicle on M5 motorway in England named as Tamzin Hall, 17
https://t.co/dvvmEEEYNs",,
BBC Breaking News,1857127738512994304,2024-11-14T18:25:31.000Z,"UK must “rebuild relations” with EU, Bank of England boss to say, in some of his strongest comments yet on Brexit https://t.co/sgu2zXx7Ux",,
BBC Breaking News,1857108486443676108,2024-11-14T17:09:01.000Z,"“He shared me with his brother” - Mohamed Al Fayed’s brother Salah also abused Harrods’ staff, three women tell BBC https://t.co/3Ej1SiXl9k",,
BBC Breaking News,1856786377045872918,2024-11-13T19:49:04.000Z,"Republicans projected to keep control of US House of Representatives, giving party clear path to enact Donald Trump’s agenda - follow live https://t.co/xlnrzrqX2v",,
BBC Breaking News,1856740801503785328,2024-11-13T16:47:58.000Z,'Welcome back' - Watch moment Joe Biden congratulates Donald Trump as pair shake hands in Oval Office https://t.co/JHwBmSBdP8,,
BBC Breaking News,1856659322542997510,2024-11-13T11:24:12.000Z,"Actor Timothy West, known for many roles in television and theatre, dies aged 90 

https://t.co/nHXXHwnOUg",,
BBC Breaking News,1856654694279504272,2024-11-13T11:05:48.000Z,"Father of 10-year-old Sara Sharif tells court in England he beat her and takes ""full responsibility"" for her death
https://t.co/8GMEUOLxML",,
BBC Breaking News,1856642926035468606,2024-11-13T10:19:02.000Z,"Up to 115 Post Office branches employing 1,000 people are at risk as part of plans to radically shake up the business https://t.co/AGtaDjd0z3",,
BBC Breaking News,1856338567540199844,2024-11-12T14:09:38.000Z,Archbishop of Canterbury Justin Welby resigns after report into child abuser associated with Church of England https://t.co/lWnlN0qQSj,,
BBC Breaking News,1856297141582414075,2024-11-12T11:25:01.000Z,"At least 35 people killed and 43 injured after man drove into crowd at sports centre in southern China, local police say
https://t.co/GojGnvWFA1",,
BBC Breaking News,1856294962385825853,2024-11-12T11:16:21.000Z,"Queen Camilla to return to public duties after cancelling engagements due to a chest infection
https://t.co/CGRytgzFR5",,
BBC Breaking News,1856283462547726392,2024-11-12T10:30:40.000Z,BBC confirms Gary Lineker to step down from Match of the Day at end of season and will lead coverage of 2026 World Cup https://t.co/kizyexVnfw,,
BBC Breaking News,1856060096104563125,2024-11-11T19:43:05.000Z,"Gary Lineker to step down from Match of the Day at the end of this season, BBC News understands  https://t.co/vtanSjdwW4",,
BBC Breaking News,1855968215089737998,2024-11-11T13:37:59.000Z,"Bishop calls on Archbishop Justin Welby to quit after damning report into prolific child abuser associated with Church of England
https://t.co/9ISGXQJ7uv",,
BBC Breaking News,1855929819558482367,2024-11-11T11:05:25.000Z,"Ex-soldier Daniel Khalife admits escaping from Wandsworth prison, after changing plea during trial, but denies spying for Iran https://t.co/SXLAWENW8a",,
BBC Breaking News,1855742910337044889,2024-11-10T22:42:42.000Z,"Liam Payne remembered at MTV Awards as host Rita Ora says he ""had biggest heart in the world"" https://t.co/8MwtHrvwcN",,
BBC Breaking News,1855613117742436374,2024-11-10T14:06:57.000Z,"Man killed and two others injured in south London stabbing, Metropolitan Police says https://t.co/4eamhggcxC",,
BBC Breaking News,1855231148638544051,2024-11-09T12:49:09.000Z,"The Queen will miss Remembrance events this weekend while she recovers from a chest infection, Buckingham Palace says https://t.co/rCJtnFlNcQ",,
BBC Breaking News,1854961592154083641,2024-11-08T18:58:01.000Z,Watchdog to review how London Metropolitan Police handled allegations of sexual misconduct against former Harrods owner Mohamed Al Fayed https://t.co/Ekk2KjRB0B,,
BBC Breaking News,1854942287584772125,2024-11-08T17:41:19.000Z,US justice department charges Iranian man in connection with alleged plot to kill Donald Trump during election campaign https://t.co/GeYiQJAHxv,,
BBC Breaking News,1854830278100828622,2024-11-08T10:16:14.000Z,"Princess of Wales will join King Charles and Prince William at Remembrance events this weekend, Buckingham Palace says
https://t.co/C1Eo5OoSnp",,
BBC Breaking News,1854657332854116543,2024-11-07T22:49:00.000Z,"US President-elect Donald Trump makes first key appointment as he begins to assemble his team - follow live updates

https://t.co/AM7v2mv63r",,
BBC Breaking News,1854648815724183751,2024-11-07T22:15:10.000Z,"Prince William says last year has been ""brutal"" and probably the worst in his life https://t.co/BaIGGC5Hu5",,
BBC Breaking News,1854628093022834935,2024-11-07T20:52:49.000Z,"Three arrested in connection with the death of One Direction star Liam Payne, Argentina's public prosecutor says https://t.co/6ZCwG0IYsq",,
BBC Breaking News,1854568169689493585,2024-11-07T16:54:42.000Z,"""Let's make every day count,"" President Biden says

""Setbacks are unavoidable, but giving up is unforgivable,"" he adds, as he gives address at the White House following Donald Trump's election win

Follow live https://t.co/zujaFS3dzD https://t.co/uUQUCm2cqG",,
BBC Breaking News,1854565410693062908,2024-11-07T16:43:44.000Z,"President Biden says Kamala Harris ""gave her whole heart"" during US election campaign and promises peaceful transfer of power to Donald Trump https://t.co/iv2SPvaRmS",,
BBC Breaking News,1854500368446558264,2024-11-07T12:25:17.000Z,UK MP Mike Amesbury charged with assault following incident in a street last month in Cheshire https://t.co/NwpkoQJPlC,,
BBC Breaking News,1854495027335970964,2024-11-07T12:04:04.000Z,UK interest rates cut to 4.7% from 5% - their lowest level in more than a year https://t.co/0AZqWMSmmz,,
